,frequency,amplitude
0,0.0,0.5238294737472772
1,23.46041055718475,0.5217508478138886
2,46.9208211143695,0.48700611393093374
3,70.38123167155425,0.40946607592585105
4,93.841642228739,0.31914023303077044
5,117.30205278592376,0.23225019950178694
6,140.7624633431085,0.1551827717077776
7,164.22287390029325,0.08736541131299036
8,187.683284457478,0.021583902701252045
9,211.14369501466277,-0.037253118250713535
10,234.60410557184753,-0.08668376326662991
11,258.06451612903226,-0.1307826552862963
12,281.524926686217,-0.17243841120008063
13,304.9853372434018,-0.21081376190787304
14,328.4457478005865,-0.24482101033512257
15,351.9061583577713,-0.27436125071780765
16,375.366568914956,-0.30022005808449626
17,398.82697947214075,-0.32330996429952374
18,422.28739002932554,-0.3444657688776157
19,445.74780058651027,-0.3638803457628935
20,469.20821114369505,-0.38156424361568564
21,492.6686217008798,-0.3975382916682759
22,516.1290322580645,-0.4118361901503451
23,539.5894428152493,-0.4245475278362277
24,563.049853372434,-0.4357972787050819
25,586.5102639296188,-0.445714772518878
26,609.9706744868035,-0.45443207907151495
27,633.4310850439883,-0.46208307796590065
28,656.891495601173,-0.4687781258345912
29,680.3519061583578,-0.47456403608956516
30,703.8123167155426,-0.4794777967256972
31,727.2727272727273,-0.48355671130967337
32,750.733137829912,-0.4868382727937772
33,774.1935483870968,-0.48936007166029627
34,797.6539589442815,-0.4911597324038664
35,821.1143695014663,-0.4922683491501332
36,844.5747800586511,-0.4926817020982266
37,868.0351906158357,-0.4923836564288769
38,891.4956011730205,-0.49135802015590424
39,914.9560117302053,-0.48958855426061937
40,938.4164222873901,-0.48705898630508226
41,961.8768328445748,-0.48375303835875616
42,985.3372434017596,-0.4796544712357244
43,1008.7976539589444,-0.4747493669505641
44,1032.258064516129,-0.469124535839667
45,1055.7184750733138,-0.4630065182662847
46,1079.1788856304986,-0.45663225805257873
47,1102.6392961876834,-0.4502386644184324
48,1126.099706744868,-0.44406242219647213
49,1149.5601173020527,-0.43833982056558785
50,1173.0205278592375,-0.43330664780334394
51,1196.4809384164223,-0.4291981925428217
52,1219.941348973607,-0.42624937766104626
53,1243.4017595307919,-0.42469503141025206
54,1266.8621700879767,-0.4247474765653356
55,1290.3225806451612,-0.4263991791228054
56,1313.782991202346,-0.4295196382117253
57,1337.2434017595308,-0.43397739929479745
58,1360.7038123167156,-0.43964109096826015
59,1384.1642228739004,-0.44637911802550323
60,1407.6246334310852,-0.45405941085485135
61,1431.0850439882697,-0.4625492539747186
62,1454.5454545454545,-0.47171520620656654
63,1478.0058651026393,-0.4814231157628895
64,1501.466275659824,-0.49153822537667224
65,1524.9266862170089,-0.5019253555820783
66,1548.3870967741937,-0.5124491484810879
67,1571.8475073313784,-0.5229743499224675
68,1595.307917888563,-0.5333661050914108
69,1618.7683284457478,-0.5435028154443287
70,1642.2287390029326,-0.5533565364634399
71,1665.6891495601174,-0.5629412975963367
72,1689.1495601173021,-0.5722715026335778
73,1712.609970674487,-0.5813616926717547
74,1736.0703812316715,-0.5902265100589884
75,1759.5307917888563,-0.5988806661725895
76,1782.991202346041,-0.6073389126149918
77,1806.4516129032259,-0.615616015430394
78,1829.9120234604106,-0.6237267319624994
79,1853.3724340175954,-0.6316857899926496
80,1876.8328445747802,-0.6395078688169396
81,1900.2932551319648,-0.6472075819401373
82,1923.7536656891496,-0.6547994610830478
83,1947.2140762463343,-0.6622979412181114
84,1970.6744868035191,-0.669717346365292
85,1994.134897360704,-0.6770718758965893
86,2017.5953079178887,-0.6843741594359269
87,2041.0557184750733,-0.6916242727363019
88,2064.516129032258,-0.6988159368535716
89,2087.976539589443,-0.705942925781182
90,2111.4369501466276,-0.71299912379875
91,2134.8973607038124,-0.7199785290958223
92,2158.357771260997,-0.7268752568369308
93,2181.818181818182,-0.7336835416468515
94,2205.2785923753668,-0.7403977394984751
95,2228.7390029325516,-0.7470123289891717
