,frequency,amplitude
0,0.0,0.4486452165503152
1,23.4375,0.4449801371580232
2,46.875,0.4341614589207039
3,70.3125,0.416704159204596
4,93.75,0.39341904092947544
5,117.1875,0.3653466625056999
6,140.625,0.33367468287224933
7,164.0625,0.2996472934428831
8,187.5,0.2644762104167767
9,210.9375,0.22926232959378867
10,234.375,0.19493555787538897
11,257.8125,0.16221769808856334
12,281.25,0.13160996454967078
13,304.6875,0.10340329951643268
14,328.125,0.07770675068715704
15,351.56249999999994,0.0544872710005726
16,375.0,0.03361370745808279
17,398.43750000000006,0.014898455260275612
18,421.875,-0.0018680191337511753
19,445.31249999999994,-0.016892323519867358
20,468.75,-0.03036324957146197
21,492.18750000000006,-0.042445382827811795
22,515.625,-0.05327874696561352
23,539.0625,-0.06298181093393956
24,562.5,-0.07165561436360168
25,585.9375,-0.07938753953976163
26,609.375,-0.08625407443694427
27,632.8125,-0.09232254150350955
28,656.25,-0.09765210437047689
29,679.6875000000001,-0.10229442572110636
30,703.1249999999999,-0.10629423413409356
31,726.5625,-0.1096898918777705
32,750.0,-0.11251393946017207
33,773.4375,-0.11479357070383167
34,796.8750000000001,-0.11655105154821105
35,820.3125,-0.11780418747671306
36,843.75,-0.1185670124409074
37,867.1875,-0.11885087896726682
38,890.6249999999999,-0.11866606778862349
39,914.0624999999999,-0.11802392620801527
40,937.5,-0.1169394218744611
41,960.9375,-0.11543389549555516
42,984.3750000000001,-0.1135377324080789
43,1007.8124999999999,-0.11129265360171797
44,1031.25,-0.10875334530410707
45,1054.6875,-0.10598819246706664
46,1078.125,-0.10307894779387311
47,1101.5625,-0.10011925109024689
48,1125.0,-0.09721201252086298
49,1148.4374999999998,-0.09446578413261558
50,1171.875,-0.09199035702815261
51,1195.3125,-0.08989192076051489
52,1218.75,-0.08826818795997438
53,1242.1875,-0.08720390500793196
54,1265.625,-0.08676713154509319
55,1289.0625000000002,-0.08700658233115205
56,1312.5,-0.08795020011958282
57,1335.9375,-0.08960499034863939
58,1359.3750000000002,-0.09195802110548573
59,1382.8124999999998,-0.09497839380193784
60,1406.2499999999998,-0.09861993172094052
61,1429.6875,-0.10282431615429566
62,1453.125,-0.10752441661114254
63,1476.5625,-0.11264760122581369
64,1500.0,-0.1181188634926183
65,1523.4375,-0.12386365089131102
66,1546.875,-0.12981032236790396
67,1570.3124999999998,-0.13589219166006583
68,1593.7500000000002,-0.14204913263163804
